Timestamp(s),Temperature(C),Humidity(%),Pressure(hPa),Altitude(m),MQ7_Raw,Voltage(V),CO(ppm)
183,26.11,37.06,1001.23,100.54,103,0.08,0.06
185,26.11,36.95,1001.21,100.72,103,0.08,0.06
187,26.10,37.06,1001.21,100.73,102,0.08,0.06
189,26.10,37.04,1001.25,100.43,107,0.09,0.06
191,26.08,36.95,1001.23,100.55,96,0.08,0.05
193,26.08,36.91,1001.22,100.61,99,0.08,0.06
195,26.07,36.91,1001.21,100.75,99,0.08,0.06
197,26.03,36.70,1001.20,100.82,104,0.08,0.06
199,26.00,36.63,1001.21,100.76,91,0.07,0.05
201,26.00,36.65,1001.17,101.04,106,0.09,0.06
203,25.99,36.66,1001.20,100.85,101,0.08,0.06
205,25.98,36.52,1001.19,100.86,95,0.08,0.05
207,25.98,36.39,1001.17,101.04,98,0.08,0.05
209,25.99,36.33,1001.19,100.91,94,0.08,0.05
211,25.97,36.30,1001.17,101.03,96,0.08,0.05
213,25.95,36.31,1001.18,101.00,97,0.08,0.05
215,25.94,36.28,1001.15,101.27,94,0.08,0.05
217,25.94,36.17,1001.17,101.08,92,0.07,0.05
219,25.93,36.08,1001.16,101.17,94,0.08,0.05
222,25.90,36.04,1001.12,101.48,96,0.08,0.05
224,25.89,36.00,1001.11,101.58,96,0.08,0.05
226,25.89,36.04,1001.10,101.62,93,0.07,0.05
228,25.90,36.07,1001.11,101.59,92,0.07,0.05
230,25.88,35.92,1001.15,101.23,88,0.07,0.05
232,25.88,35.91,1001.12,101.50,108,0.09,0.06
234,25.85,35.94,1001.10,101.64,97,0.08,0.05
236,25.85,35.89,1001.12,101.48,93,0.07,0.05
238,25.82,35.82,1001.11,101.58,89,0.07,0.05
240,25.77,35.75,1001.10,101.61,99,0.08,0.06
242,25.75,35.70,1001.10,101.64,96,0.08,0.05
244,25.74,35.65,1001.11,101.58,92,0.07,0.05
246,25.74,35.68,1001.10,101.68,94,0.08,0.05
248,25.74,35.71,1001.12,101.52,85,0.07,0.05
250,25.73,35.78,1001.10,101.61,93,0.07,0.05
252,25.73,35.74,1001.08,101.83,96,0.08,0.05
254,25.72,35.68,1001.11,101.54,95,0.08,0.05
256,25.70,35.60,1001.11,101.58,80,0.06,0.04
258,25.70,35.55,1001.05,102.04,94,0.08,0.05
260,25.69,35.48,1001.07,101.95,95,0.08,0.05
262,25.70,35.48,1001.08,101.81,95,0.08,0.05
264,25.70,35.50,1001.08,101.85,92,0.07,0.05
266,25.69,35.53,1001.08,101.85,88,0.07,0.05
268,25.69,35.45,1001.06,102.03,92,0.07,0.05
270,25.66,35.42,1001.04,102.14,90,0.07,0.05
273,25.65,35.44,1001.07,101.88,90,0.07,0.05
275,25.61,35.40,1001.03,102.24,88,0.07,0.05
277,25.61,35.43,1001.03,102.20,85,0.07,0.05
279,25.59,35.36,1001.02,102.29,98,0.08,0.05
281,25.60,35.38,1001.02,102.35,89,0.07,0.05
283,25.58,35.40,1001.03,102.24,86,0.07,0.05
285,25.56,35.42,1001.00,102.48,96,0.08,0.05
287,25.47,35.44,1000.99,102.57,90,0.07,0.05
289,25.42,35.59,1001.01,102.44,88,0.07,0.05
291,25.39,35.90,1001.00,102.46,91,0.07,0.05
293,25.42,36.99,1001.02,102.29,94,0.08,0.05
295,25.43,37.30,1001.00,102.50,98,0.08,0.05
297,25.43,37.58,1001.01,102.42,97,0.08,0.05
299,25.44,37.93,1001.02,102.36,99,0.08,0.06
301,25.46,37.87,1001.03,102.26,93,0.07,0.05
303,25.46,38.28,1001.04,102.19,99,0.08,0.06
305,25.47,38.38,1001.05,102.04,91,0.07,0.05
307,25.48,38.15,1001.00,102.47,99,0.08,0.06
309,25.49,37.73,1001.02,102.36,95,0.08,0.05
311,25.48,36.76,1000.99,102.53,96,0.08,0.05
313,25.49,36.41,1001.02,102.35,103,0.08,0.06
315,25.48,36.38,1000.99,102.58,93,0.07,0.05
317,25.49,36.23,1001.01,102.39,95,0.08,0.05
319,25.49,35.98,1001.03,102.25,91,0.07,0.05
321,25.48,35.85,1000.98,102.63,90,0.07,0.05
323,25.49,35.90,1001.01,102.44,90,0.07,0.05
326,25.49,35.90,1000.97,102.75,95,0.08,0.05
328,25.49,35.85,1000.98,102.65,91,0.07,0.05
330,25.50,35.88,1001.00,102.51,102,0.08,0.06
332,25.52,35.90,1000.98,102.65,89,0.07,0.05
334,25.51,35.82,1000.97,102.71,94,0.08,0.05
336,25.52,36.12,1001.00,102.49,91,0.07,0.05
338,25.49,36.04,1001.02,102.30,88,0.07,0.05
340,25.46,35.88,1001.02,102.32,80,0.06,0.04
342,25.49,37.27,1001.00,102.49,90,0.07,0.05
344,25.48,36.78,1000.99,102.58,93,0.07,0.05
346,25.46,36.56,1001.00,102.50,93,0.07,0.05
348,25.44,36.22,1000.94,103.00,90,0.07,0.05
350,25.45,36.14,1000.97,102.77,92,0.07,0.05
352,25.44,36.27,1001.00,102.49,89,0.07,0.05
354,25.45,36.66,1001.00,102.50,90,0.07,0.05
356,25.41,36.23,1000.99,102.54,94,0.08,0.05
358,25.40,36.07,1000.99,102.55,92,0.07,0.05
360,25.40,36.04,1000.99,102.61,96,0.08,0.05
362,25.43,36.01,1000.99,102.59,95,0.08,0.05
364,25.45,36.01,1001.00,102.46,83,0.07,0.04
366,25.43,36.22,1001.00,102.51,89,0.07,0.05
368,25.44,37.14,1000.97,102.71,97,0.08,0.05
370,25.45,37.50,1000.98,102.69,94,0.08,0.05
372,25.46,37.52,1001.00,102.52,95,0.08,0.05
374,25.47,36.94,1000.99,102.60,94,0.08,0.05
377,25.48,36.59,1001.00,102.46,94,0.08,0.05
379,25.50,36.41,1000.98,102.68,92,0.07,0.05
381,25.50,36.58,1000.98,102.63,96,0.08,0.05
383,25.51,37.93,1001.01,102.38,94,0.08,0.05
385,25.51,36.95,1001.02,102.32,99,0.08,0.06
387,25.52,37.02,1001.01,102.37,94,0.08,0.05
389,25.52,36.53,1001.03,102.28,91,0.07,0.05
391,25.50,36.49,1001.01,102.41,86,0.07,0.05
393,25.50,36.41,1001.02,102.36,94,0.08,0.05
395,25.49,36.38,1001.02,102.33,96,0.08,0.05
397,25.50,36.36,1000.99,102.59,96,0.08,0.05
399,25.51,36.40,1000.99,102.55,110,0.09,0.06
401,25.51,36.54,1001.01,102.43,94,0.08,0.05
403,25.52,36.39,1001.00,102.47,95,0.08,0.05
405,25.52,36.23,1000.98,102.68,96,0.08,0.05
407,25.52,36.18,1000.99,102.60,96,0.08,0.05
409,25.53,36.09,1001.02,102.33,93,0.07,0.05
411,25.50,38.17,1001.00,102.51,103,0.08,0.06
413,25.49,38.12,1000.97,102.73,106,0.09,0.06
415,25.49,38.87,1001.01,102.42,106,0.09,0.06
417,25.51,38.79,1001.02,102.30,107,0.09,0.06
419,25.50,38.14,1001.00,102.47,85,0.07,0.05
421,25.50,37.34,1000.98,102.70,101,0.08,0.06
423,25.50,37.00,1000.99,102.62,103,0.08,0.06
425,25.51,36.65,1000.98,102.63,93,0.07,0.05
427,25.52,36.45,1000.99,102.60,96,0.08,0.05
430,25.52,36.73,1001.01,102.42,97,0.08,0.05
432,25.51,36.50,1000.99,102.60,96,0.08,0.05
434,25.51,37.13,1001.00,102.48,80,0.06,0.04
436,25.52,37.00,1001.03,102.22,101,0.08,0.06
438,25.50,36.61,1001.00,102.51,98,0.08,0.05
440,25.50,36.51,1001.01,102.38,102,0.08,0.06
442,25.48,37.22,1001.01,102.38,94,0.08,0.05
444,25.49,38.30,1000.98,102.67,98,0.08,0.05
446,25.50,37.47,1001.04,102.19,99,0.08,0.06
448,25.50,37.03,1001.00,102.52,95,0.08,0.05
450,25.51,36.87,1001.00,102.46,98,0.08,0.05
452,25.50,36.76,1001.03,102.26,102,0.08,0.06
454,25.52,36.68,1001.05,102.06,101,0.08,0.06
456,25.52,36.61,1001.01,102.41,97,0.08,0.05
458,25.53,36.45,1001.02,102.33,97,0.08,0.05
460,25.52,36.37,1001.03,102.28,96,0.08,0.05
462,25.52,36.35,1001.00,102.47,110,0.09,0.06
464,25.51,36.39,1001.00,102.37,85,0.07,0.05
466,25.49,36.36,1000.99,102.62,96,0.08,0.05
468,25.50,36.42,1001.02,102.32,93,0.07,0.05
470,25.49,36.55,1001.06,102.00,94,0.08,0.05
472,25.51,36.67,1001.02,102.37,91,0.07,0.05
474,25.52,36.54,1001.00,102.48,96,0.08,0.05
476,25.52,36.55,1001.03,102.25,99,0.08,0.06
478,25.51,37.10,1001.04,102.14,96,0.08,0.05
481,25.51,37.18,1001.02,102.30,95,0.08,0.05
483,25.52,37.89,1001.02,102.35,103,0.08,0.06
485,25.53,37.69,1000.98,102.63,99,0.08,0.06
487,25.52,37.32,1001.02,102.30,102,0.08,0.06
489,25.52,37.76,1001.01,102.40,96,0.08,0.05
491,25.52,37.56,1001.02,102.30,95,0.08,0.05
493,25.52,37.08,1001.04,102.15,95,0.08,0.05
495,25.51,36.74,1001.06,102.03,103,0.08,0.06
497,25.51,36.58,1001.04,102.16,98,0.08,0.05
499,25.49,36.82,1001.05,102.07,96,0.08,0.05
501,25.49,36.85,1001.03,102.23,106,0.09,0.06
503,25.49,37.01,1001.06,101.96,95,0.08,0.05
505,25.48,36.96,1001.04,102.13,97,0.08,0.05
507,25.46,36.62,1001.05,102.08,107,0.09,0.06
509,25.46,36.59,1001.06,102.02,96,0.08,0.05
511,25.44,36.60,1001.01,102.41,107,0.09,0.06
513,25.45,36.96,1001.01,102.39,97,0.08,0.05
515,25.47,37.06,1001.02,102.34,97,0.08,0.05
517,25.47,36.98,1001.04,102.19,99,0.08,0.06
519,25.45,36.80,1000.99,102.60,100,0.08,0.06
521,25.45,36.69,1000.99,102.56,97,0.08,0.05
523,25.43,36.63,1000.95,102.95,98,0.08,0.05
525,25.43,36.61,1001.02,102.32,97,0.08,0.05
527,25.42,36.67,1001.05,102.09,97,0.08,0.05
529,25.43,36.71,1001.02,102.32,98,0.08,0.05
532,25.43,36.81,1001.02,102.30,97,0.08,0.05
534,25.45,37.99,1001.04,102.15,107,0.09,0.06
536,25.46,38.12,1001.02,102.38,99,0.08,0.06
538,25.45,37.56,1001.03,102.21,102,0.08,0.06
540,25.45,37.77,1001.03,102.25,96,0.08,0.05
542,25.45,37.71,1001.00,102.51,100,0.08,0.06
544,25.43,37.28,1001.00,102.49,112,0.09,0.06
546,25.42,36.95,1001.01,102.38,98,0.08,0.05
548,25.43,36.80,1001.00,102.50,95,0.08,0.05
550,25.43,36.72,1001.03,102.28,96,0.08,0.05
552,25.42,36.71,1001.01,102.45,94,0.08,0.05
554,25.42,36.72,1001.01,102.43,96,0.08,0.05
556,25.43,36.78,1001.01,102.44,96,0.08,0.05
558,25.43,36.87,1001.03,102.22,101,0.08,0.06
560,25.42,37.10,1001.00,102.53,93,0.07,0.05
562,25.44,37.42,1001.00,102.48,99,0.08,0.06
564,25.43,37.28,1001.00,102.49,96,0.08,0.05
566,25.43,37.09,1000.99,102.56,100,0.08,0.06
568,25.42,36.92,1001.00,102.48,92,0.07,0.05
570,25.43,37.03,1001.03,102.27,107,0.09,0.06
572,25.42,37.21,1001.01,102.39,99,0.08,0.06
574,25.42,37.21,1001.01,102.44,98,0.08,0.05
576,25.42,37.14,1001.01,102.40,99,0.08,0.06
578,25.42,37.04,1000.99,102.54,99,0.08,0.06
580,25.45,37.96,1000.99,102.59,105,0.08,0.06
583,25.45,37.53,1001.03,102.27,98,0.08,0.05
585,25.45,37.24,1001.02,102.29,97,0.08,0.05
587,25.45,37.25,1001.01,102.38,98,0.08,0.05
589,25.43,37.01,1000.99,102.55,100,0.08,0.06
591,25.42,36.84,1001.03,102.27,97,0.08,0.05
593,25.41,36.89,1001.01,102.42,87,0.07,0.05
595,25.41,36.83,1000.99,102.58,96,0.08,0.05
597,25.40,36.79,1001.01,102.44,94,0.08,0.05
599,25.40,36.90,1001.02,102.36,109,0.09,0.06
601,25.40,36.96,1000.99,102.57,99,0.08,0.06
603,25.41,36.95,1001.00,102.49,96,0.08,0.05
605,25.44,38.35,1001.02,102.33,99,0.08,0.06
607,25.44,38.75,1001.01,102.45,102,0.08,0.06
609,25.44,38.02,1000.98,102.68,101,0.08,0.06
611,25.45,37.67,1001.01,102.43,105,0.08,0.06
613,25.44,37.37,1001.02,102.35,106,0.09,0.06
615,25.47,40.20,1001.02,102.30,107,0.09,0.06
617,25.48,40.93,1001.01,102.38,109,0.09,0.06
619,25.47,39.75,1001.02,102.29,106,0.09,0.06
621,25.47,39.59,1001.01,102.43,112,0.09,0.06
623,25.49,40.52,1001.02,102.31,110,0.09,0.06
625,25.49,39.56,1001.01,102.41,113,0.09,0.07
627,25.48,38.73,1001.00,102.48,113,0.09,0.07
629,25.47,38.05,1001.00,102.50,114,0.09,0.07
631,25.46,37.73,1001.00,102.46,102,0.08,0.06
633,25.45,37.49,1000.98,102.69,107,0.09,0.06
636,25.43,37.30,1000.98,102.65,103,0.08,0.06
638,25.46,39.87,1000.97,102.76,118,0.10,0.07
640,25.47,42.32,1000.99,102.54,112,0.09,0.06
642,25.47,42.15,1001.00,102.50,102,0.08,0.06
644,25.50,41.62,1000.96,102.81,108,0.09,0.06
646,25.50,39.73,1001.00,102.46,106,0.09,0.06
648,25.53,38.49,1001.02,102.30,109,0.09,0.06
650,25.50,37.77,1000.98,102.65,99,0.08,0.06
652,25.48,37.51,1000.97,102.77,107,0.09,0.06
654,25.47,37.51,1000.99,102.53,109,0.09,0.06
656,25.46,37.69,1000.97,102.79,112,0.09,0.06
658,25.46,37.41,1000.98,102.62,110,0.09,0.06
660,25.45,37.22,1000.98,102.66,112,0.09,0.06
662,25.43,37.14,1000.93,103.07,112,0.09,0.06
664,25.44,37.67,1000.99,102.51,102,0.08,0.06
666,25.46,37.22,1000.98,102.64,105,0.08,0.06
668,25.47,37.13,1000.97,102.77,99,0.08,0.06
670,25.47,37.04,1000.97,102.72,97,0.08,0.05
672,25.47,37.04,1000.94,102.97,99,0.08,0.06
674,25.46,36.94,1000.97,102.74,82,0.07,0.04
676,25.46,36.95,1000.96,102.86,94,0.08,0.05
678,25.45,36.92,1001.00,102.48,92,0.07,0.05
680,25.46,36.81,1001.01,102.42,98,0.08,0.05
682,25.45,36.71,1000.99,102.58,98,0.08,0.05
684,25.45,36.69,1000.97,102.73,98,0.08,0.05
686,25.45,36.69,1000.97,102.74,94,0.08,0.05
689,25.45,36.70,1000.99,102.58,99,0.08,0.06
691,25.45,36.71,1000.97,102.71,93,0.07,0.05
693,25.46,36.83,1000.99,102.55,99,0.08,0.06
695,25.46,36.98,1000.97,102.79,98,0.08,0.05
697,25.46,37.92,1001.00,102.51,102,0.08,0.06
699,25.46,37.81,1000.98,102.64,90,0.07,0.05
701,25.45,37.35,1000.98,102.68,95,0.08,0.05
703,25.45,37.11,1000.97,102.76,93,0.07,0.05
705,25.43,36.99,1000.99,102.61,97,0.08,0.05
707,25.44,37.04,1000.97,102.73,100,0.08,0.06
709,25.44,37.15,1001.02,102.33,100,0.08,0.06
711,25.44,37.11,1000.98,102.66,101,0.08,0.06
713,25.45,37.17,1001.03,102.26,98,0.08,0.05
715,25.45,37.43,1001.03,102.20,98,0.08,0.05
717,25.45,37.52,1001.02,102.29,97,0.08,0.05
719,25.45,37.38,1001.08,101.84,97,0.08,0.05
721,25.45,37.28,1001.08,101.81,96,0.08,0.05
723,25.46,37.22,1001.06,101.97,99,0.08,0.06
725,25.45,37.21,1001.08,101.80,99,0.08,0.06
727,25.44,37.14,1001.04,102.14,91,0.07,0.05
729,25.44,37.13,1001.05,102.10,97,0.08,0.05
731,25.45,37.20,1001.05,102.08,93,0.07,0.05
733,25.44,37.11,1001.06,101.99,94,0.08,0.05
735,25.43,37.23,1001.05,102.07,90,0.07,0.05
737,25.42,37.26,1001.03,102.26,97,0.08,0.05
739,25.43,38.11,1001.03,102.27,105,0.08,0.06
742,25.42,37.36,1001.03,102.22,95,0.08,0.05
744,25.40,37.00,1001.02,102.32,98,0.08,0.05
746,25.41,37.01,1001.05,102.03,91,0.07,0.05
748,25.41,36.97,1001.03,102.23,98,0.08,0.05
750,25.41,36.95,1001.05,102.08,96,0.08,0.05
752,25.40,36.94,1001.05,102.08,95,0.08,0.05
754,25.40,37.03,1001.04,102.12,93,0.07,0.05
756,25.41,36.96,1001.05,102.10,103,0.08,0.06
758,25.40,36.98,1001.04,102.15,99,0.08,0.06
760,25.40,36.98,1001.04,102.14,100,0.08,0.06
762,25.41,37.19,1001.03,102.23,109,0.09,0.06
764,25.40,37.37,1001.05,102.07,103,0.08,0.06
766,25.42,38.30,1001.06,101.97,100,0.08,0.06
768,25.42,37.86,1001.06,102.00,99,0.08,0.06
770,25.41,37.18,1001.04,102.16,98,0.08,0.05
772,25.43,37.24,1001.06,102.01,101,0.08,0.06
774,25.42,37.39,1001.04,102.19,103,0.08,0.06
776,25.41,37.07,1001.03,102.23,96,0.08,0.05
778,25.41,37.00,1001.05,102.06,99,0.08,0.06
780,25.41,36.95,1001.05,102.05,101,0.08,0.06
782,25.42,37.00,1001.06,101.98,102,0.08,0.06
784,25.42,37.04,1001.04,102.16,96,0.08,0.05
786,25.42,37.04,1001.04,102.14,101,0.08,0.06
788,25.43,37.52,1001.03,102.26,91,0.07,0.05
790,25.45,37.07,1001.05,102.11,98,0.08,0.05
793,25.45,36.80,1001.10,101.65,97,0.08,0.05
795,25.45,36.70,1001.08,101.80,95,0.08,0.05
797,25.44,36.67,1001.06,101.97,87,0.07,0.05
799,25.43,36.68,1001.10,101.67,95,0.08,0.05
801,25.42,36.83,1001.08,101.78,101,0.08,0.06
803,25.41,36.76,1001.02,102.36,96,0.08,0.05
805,25.42,36.76,1001.06,101.99,99,0.08,0.06
807,25.42,36.71,1001.08,101.83,99,0.08,0.06
809,25.41,36.69,1001.07,101.91,101,0.08,0.06
811,25.42,37.47,1001.05,102.08,102,0.08,0.06
813,25.44,38.01,1001.09,101.76,101,0.08,0.06
815,25.44,38.89,1001.09,101.71,111,0.09,0.06
817,25.45,37.95,1001.08,101.80,106,0.09,0.06
819,25.44,38.08,1001.08,101.82,103,0.08,0.06
821,25.44,37.87,1001.07,101.88,103,0.08,0.06
823,25.44,37.58,1001.06,101.97,98,0.08,0.05
825,25.44,37.39,1001.08,101.80,102,0.08,0.06
827,25.43,37.37,1001.11,101.58,109,0.09,0.06
829,25.44,37.43,1001.11,101.53,100,0.08,0.06
831,25.43,37.54,1001.10,101.68,101,0.08,0.06
833,25.44,37.33,1001.09,101.75,96,0.08,0.05
835,25.44,37.30,1001.09,101.73,106,0.09,0.06
837,25.43,37.75,1001.10,101.64,121,0.10,0.07
839,25.44,37.75,1001.09,101.77,112,0.09,0.06
841,25.47,39.01,1001.10,101.65,111,0.09,0.06
843,25.49,38.98,1001.12,101.47,109,0.09,0.06
845,25.49,39.47,1001.09,101.77,112,0.09,0.06
848,25.50,39.94,1001.12,101.49,108,0.09,0.06
850,25.49,38.93,1001.11,101.59,108,0.09,0.06
852,25.52,41.32,1001.11,101.59,112,0.09,0.06
854,25.53,39.92,1001.11,101.58,112,0.09,0.06
856,25.53,39.81,1001.13,101.43,109,0.09,0.06
858,25.53,40.34,1001.14,101.34,110,0.09,0.06
860,25.54,41.25,1001.12,101.47,101,0.08,0.06
862,25.54,41.20,1001.15,101.23,110,0.09,0.06
864,25.55,40.54,1001.12,101.49,113,0.09,0.07
866,25.55,40.18,1001.12,101.48,112,0.09,0.06
868,25.55,40.24,1001.12,101.47,115,0.09,0.07
870,25.55,40.13,1001.12,101.51,113,0.09,0.07
872,25.54,39.85,1001.13,101.37,109,0.09,0.06
874,25.54,39.20,1001.14,101.34,112,0.09,0.06
876,25.55,39.74,1001.14,101.30,113,0.09,0.07
878,25.55,39.96,1001.11,101.58,112,0.09,0.06
880,25.56,40.33,1001.14,101.32,112,0.09,0.06
882,25.57,40.52,1001.14,101.33,111,0.09,0.06
884,25.56,39.59,1001.15,101.22,105,0.08,0.06
886,25.56,39.16,1001.15,101.26,112,0.09,0.06
888,25.55,38.22,1001.16,101.14,107,0.09,0.06
890,25.52,37.76,1001.12,101.44,103,0.08,0.06
892,25.51,37.93,1001.13,101.41,106,0.09,0.06
894,25.51,38.46,1001.16,101.14,107,0.09,0.06
896,25.53,40.43,1001.14,101.27,112,0.09,0.06
898,25.53,39.76,1001.16,101.17,108,0.09,0.06
901,25.52,38.61,1001.18,101.00,109,0.09,0.06
903,25.53,38.06,1001.18,100.96,106,0.09,0.06
905,25.52,37.95,1001.16,101.17,109,0.09,0.06
907,25.51,38.06,1001.16,101.14,103,0.08,0.06
909,25.51,37.76,1001.16,101.19,106,0.09,0.06
911,25.51,37.50,1001.17,101.04,108,0.09,0.06
913,25.51,37.41,1001.16,101.15,102,0.08,0.06
915,25.51,37.25,1001.15,101.23,111,0.09,0.06
917,25.52,37.17,1001.19,100.92,105,0.08,0.06
919,25.51,37.06,1001.14,101.33,102,0.08,0.06
921,25.51,37.10,1001.15,101.23,112,0.09,0.06
923,25.52,39.07,1001.15,101.21,108,0.09,0.06
925,25.53,38.63,1001.16,101.13,110,0.09,0.06
927,25.55,39.88,1001.15,101.25,110,0.09,0.06
929,25.54,38.44,1001.15,101.26,110,0.09,0.06
931,25.53,37.82,1001.16,101.13,105,0.08,0.06
933,25.55,41.89,1001.16,101.14,109,0.09,0.06
935,25.55,41.03,1001.16,101.11,108,0.09,0.06
937,25.57,40.41,1001.15,101.24,110,0.09,0.06
939,25.56,39.19,1001.14,101.31,113,0.09,0.07
941,25.57,38.98,1001.15,101.24,104,0.08,0.06
943,25.58,38.73,1001.12,101.50,112,0.09,0.06
945,25.58,38.20,1001.13,101.36,104,0.08,0.06
947,25.59,41.09,1001.13,101.38,109,0.09,0.06
949,25.59,40.08,1001.15,101.22,105,0.08,0.06
952,25.58,39.42,1001.16,101.17,109,0.09,0.06
954,25.59,39.71,1001.13,101.42,105,0.08,0.06
956,25.60,40.00,1001.12,101.49,121,0.10,0.07
958,25.61,39.64,1001.13,101.28,114,0.09,0.07
960,25.61,38.77,1001.14,101.29,112,0.09,0.06
962,25.59,38.29,1001.15,101.27,94,0.08,0.05
964,25.58,37.90,1001.10,101.62,98,0.08,0.05
966,25.58,37.94,1001.12,101.49,100,0.08,0.06
968,25.60,40.28,1001.14,101.30,112,0.09,0.06
970,25.63,40.77,1001.14,101.27,106,0.09,0.06
972,25.65,41.37,1001.15,101.25,108,0.09,0.06
