Timestamp(s),Temperature(C),Humidity(%),Pressure(hPa),Altitude(m),MQ7_Raw,Voltage(V),CO(ppm)
72,24.37,32.49,1017.11,-32.08,207,0.17,0.14
74,24.38,32.52,1017.10,-32.01,210,0.17,0.15
76,24.38,32.54,1017.11,-32.10,202,0.16,0.14
78,24.39,32.50,1017.11,-32.06,204,0.16,0.14
80,24.39,32.51,1017.10,-32.04,209,0.17,0.15
82,24.38,32.64,1017.10,-32.00,205,0.17,0.14
84,24.39,32.67,1017.09,-31.92,209,0.17,0.15
86,24.39,32.55,1017.10,-31.99,208,0.17,0.14
88,24.39,32.50,1017.10,-32.04,199,0.16,0.14
90,24.41,32.60,1017.11,-32.09,201,0.16,0.14
92,24.40,32.78,1017.09,-31.89,203,0.16,0.14
94,24.41,32.77,1017.08,-31.82,204,0.16,0.14
97,24.41,32.71,1017.10,-31.98,206,0.17,0.14
99,24.41,32.61,1017.07,-31.75,204,0.16,0.14
101,24.42,32.55,1017.12,-32.15,204,0.16,0.14
103,24.42,32.52,1017.09,-31.94,210,0.17,0.15
105,24.43,32.50,1017.10,-32.04,201,0.16,0.14
107,24.43,32.57,1017.08,-31.84,204,0.16,0.14
109,24.43,32.57,1017.10,-31.98,202,0.16,0.14
111,24.42,32.46,1017.11,-32.06,201,0.16,0.14
113,24.43,32.42,1017.10,-31.99,199,0.16,0.14
115,24.43,32.45,1017.11,-32.11,204,0.16,0.14
117,24.43,32.43,1017.08,-31.83,201,0.16,0.14
119,24.43,32.33,1017.07,-31.74,201,0.16,0.14
121,24.42,32.25,1017.09,-31.93,195,0.16,0.13
123,24.42,32.27,1017.12,-32.15,199,0.16,0.14
125,24.42,32.45,1017.10,-32.04,198,0.16,0.14
127,24.43,32.41,1017.09,-31.90,199,0.16,0.14
129,24.43,32.34,1017.09,-31.91,197,0.16,0.13
131,24.44,32.46,1017.11,-32.09,202,0.16,0.14
133,24.44,32.50,1017.12,-32.16,199,0.16,0.14
135,24.44,32.38,1017.11,-32.09,201,0.16,0.14
137,24.45,32.31,1017.13,-32.15,195,0.16,0.13
139,24.45,32.29,1017.16,-32.53,198,0.16,0.14
141,24.45,32.24,1017.19,-32.73,197,0.16,0.13
143,24.44,32.22,1017.15,-32.41,197,0.16,0.13
145,24.44,32.20,1017.16,-32.51,198,0.16,0.14
147,24.45,32.38,1017.16,-32.51,181,0.15,0.12
149,24.47,35.96,1017.16,-32.51,199,0.16,0.14
151,24.48,36.25,1017.16,-32.47,242,0.20,0.18
153,24.50,35.89,1017.09,-31.95,244,0.20,0.18
155,24.52,35.77,1017.10,-31.97,244,0.20,0.18
157,24.53,35.60,1017.13,-32.22,261,0.21,0.20
159,24.53,34.86,1017.10,-31.98,262,0.21,0.20
161,24.55,34.22,1017.08,-31.87,265,0.21,0.20
163,24.54,33.80,1017.07,-31.79,253,0.20,0.19
165,24.57,33.51,1017.09,-31.92,250,0.20,0.18
167,24.69,33.45,1017.09,-31.93,250,0.20,0.18
169,24.67,33.21,1017.12,-32.16,245,0.20,0.18
171,24.68,33.03,1017.10,-32.00,243,0.20,0.18
173,24.69,32.87,1017.11,-32.07,240,0.19,0.17
175,24.70,32.91,1017.15,-32.45,240,0.19,0.17
177,24.71,32.87,1017.13,-32.24,240,0.19,0.17
179,24.71,32.96,1017.12,-32.15,242,0.20,0.18
181,24.71,33.18,1017.11,-32.09,240,0.19,0.17
183,24.70,33.54,1017.11,-32.12,242,0.20,0.18
185,24.69,33.52,1017.10,-31.99,240,0.19,0.17
188,24.69,33.27,1017.10,-32.04,240,0.19,0.17
190,24.70,33.08,1017.09,-31.91,240,0.19,0.17
192,24.70,32.98,1017.08,-31.87,240,0.19,0.17
194,24.70,33.02,1017.08,-31.86,240,0.19,0.17
196,24.70,33.76,1017.06,-31.64,101,0.08,0.06
198,24.71,35.35,1017.03,-31.42,106,0.09,0.06
200,24.75,38.14,1017.03,-31.43,101,0.08,0.06
202,24.77,39.24,1017.04,-31.53,112,0.09,0.06
204,24.75,36.70,1017.10,-32.04,158,0.13,0.10
206,24.72,35.15,1017.12,-32.14,147,0.12,0.09
208,24.72,34.73,1017.12,-32.14,145,0.12,0.09
210,24.72,34.41,1017.11,-32.07,144,0.12,0.09
212,24.71,33.84,1017.11,-32.05,144,0.12,0.09
214,24.71,33.36,1017.14,-32.33,149,0.12,0.09
216,24.70,33.18,1017.11,-32.05,134,0.11,0.08
218,24.72,34.04,1017.15,-32.39,161,0.13,0.10
220,24.72,34.15,1017.12,-32.14,166,0.13,0.11
222,24.72,33.72,1017.11,-32.12,166,0.13,0.11
224,24.71,33.54,1017.13,-32.23,169,0.14,0.11
226,24.71,33.73,1017.12,-32.18,162,0.13,0.10
228,24.70,33.41,1017.10,-32.02,161,0.13,0.10
230,24.70,33.22,1017.12,-32.17,157,0.13,0.10
232,24.70,32.93,1017.12,-32.18,155,0.12,0.10
234,24.70,33.02,1017.11,-32.12,154,0.12,0.10
236,24.69,32.84,1017.11,-32.12,151,0.12,0.10
238,24.69,32.93,1017.11,-32.06,148,0.12,0.09
240,24.69,32.93,1017.10,-32.01,155,0.12,0.10
242,24.68,32.91,1017.09,-31.88,155,0.12,0.10
244,24.69,34.14,1017.11,-32.05,153,0.12,0.10
246,24.69,33.99,1017.09,-31.93,165,0.13,0.11
248,24.71,34.26,1017.11,-32.07,175,0.14,0.12
250,24.72,34.19,1017.12,-32.18,169,0.14,0.11
252,24.73,33.83,1017.14,-32.34,168,0.14,0.11
254,24.74,33.50,1017.11,-32.07,166,0.13,0.11
256,24.75,33.38,1017.12,-32.14,157,0.13,0.10
258,24.76,33.41,1017.12,-32.14,159,0.13,0.10
260,24.76,33.64,1017.10,-32.05,158,0.13,0.10
262,24.75,33.26,1017.11,-32.13,147,0.12,0.09
264,24.74,33.11,1017.10,-31.98,157,0.13,0.10
266,24.73,32.96,1017.12,-32.16,153,0.12,0.10
268,24.71,32.69,1017.09,-31.89,150,0.12,0.09
270,24.71,32.48,1017.11,-32.07,149,0.12,0.09
272,24.70,32.50,1017.10,-32.01,148,0.12,0.09
274,24.70,32.64,1017.09,-31.90,146,0.12,0.09
277,24.70,32.63,1017.11,-32.08,146,0.12,0.09
279,24.69,33.63,1017.12,-32.20,146,0.12,0.09
281,24.71,34.29,1017.10,-32.00,147,0.12,0.09
283,24.72,34.57,1017.09,-31.88,145,0.12,0.09
285,24.73,34.81,1017.08,-31.86,153,0.12,0.10
287,24.71,34.31,1017.08,-31.86,150,0.12,0.09
0,25.16,32.44,1017.05,146,0.12,0.09
2,25.15,32.36,1017.03,149,0.12,0.09
4,25.12,32.39,1017.04,149,0.12,0.09
6,25.12,32.54,1017.04,146,0.12,0.09
8,25.12,32.42,1017.05,152,0.12,0.10
10,25.11,32.47,1017.05,145,0.12,0.09
12,25.10,32.58,1017.04,146,0.12,0.09
14,25.10,32.55,1017.04,144,0.12,0.09
16,25.08,32.40,1017.03,147,0.12,0.09
18,25.08,32.49,1017.06,158,0.13,0.10
20,180.50,100.00,-160.19,130,0.10,0.08
22,180.50,100.00,-160.19,144,0.12,0.09
24,180.50,100.00,-160.19,157,0.13,0.10
26,180.50,100.00,-160.19,176,0.14,0.12
28,180.50,100.00,-160.19,176,0.14,0.12
30,180.50,100.00,-160.19,176,0.14,0.12
32,180.50,100.00,-160.19,170,0.14,0.11
34,180.50,100.00,-160.19,195,0.16,0.13
36,180.50,100.00,-160.19,167,0.13,0.11
38,180.50,100.00,-160.19,167,0.13,0.11
40,180.50,100.00,-160.19,185,0.15,0.12
42,180.50,100.00,-160.19,209,0.17,0.15
44,180.50,100.00,-160.19,201,0.16,0.14
46,180.50,100.00,-160.19,199,0.16,0.14
49,180.50,100.00,-160.19,188,0.15,0.13
51,180.50,100.00,-160.19,215,0.17,0.15
53,180.50,100.00,-160.19,181,0.15,0.12
55,180.50,100.00,-160.19,177,0.14,0.12
57,180.50,100.00,-160.19,240,0.19,0.17
59,180.50,100.00,-160.19,201,0.16,0.14
61,180.50,100.00,-160.19,130,0.10,0.08
63,180.50,100.00,-160.19,133,0.11,0.08
65,180.50,100.00,-160.19,133,0.11,0.08
67,180.50,100.00,-160.19,144,0.12,0.09
69,180.50,100.00,-160.19,128,0.10,0.08
71,180.50,100.00,-160.19,125,0.10,0.07
73,180.50,100.00,-160.19,126,0.10,0.08
75,180.50,100.00,-160.19,125,0.10,0.07
77,180.50,100.00,-160.19,122,0.10,0.07
79,180.50,100.00,-160.19,123,0.10,0.07
81,180.50,100.00,-160.19,126,0.10,0.08
83,180.50,100.00,-160.19,125,0.10,0.07
85,22.07,82.32,684.98,144,0.12,0.09
88,22.07,82.32,684.98,123,0.10,0.07
90,22.07,82.32,684.98,122,0.10,0.07
0,26.02,32.04,1017.04,80,0.06,0.04
2,26.01,32.12,1017.04,80,0.06,0.04
4,25.99,32.26,1017.03,78,0.06,0.04
6,25.95,32.22,1017.01,75,0.06,0.04
8,25.96,32.25,1017.00,76,0.06,0.04
10,25.93,32.17,1016.97,74,0.06,0.04
12,25.90,32.08,1016.96,75,0.06,0.04
14,25.89,32.25,1016.97,79,0.06,0.04
16,25.88,32.37,1016.97,80,0.06,0.04
18,25.86,32.32,1016.99,78,0.06,0.04
20,25.83,32.21,1017.02,75,0.06,0.04
22,25.82,32.17,1017.00,80,0.06,0.04
24,25.80,32.10,1017.02,78,0.06,0.04
26,25.78,32.04,1017.01,80,0.06,0.04
28,25.78,32.13,1016.99,81,0.07,0.04
30,25.79,32.42,1016.98,80,0.06,0.04
32,25.79,33.75,1016.97,84,0.07,0.04
34,25.79,33.85,1016.99,80,0.06,0.04
36,25.79,33.86,1016.97,80,0.06,0.04
38,25.76,33.47,1016.96,83,0.07,0.04
40,25.74,33.05,1016.95,80,0.06,0.04
42,25.73,32.75,1016.98,80,0.06,0.04
44,25.71,32.50,1016.99,80,0.06,0.04
46,25.70,32.46,1016.99,80,0.06,0.04
48,25.67,32.35,1016.98,78,0.06,0.04
50,25.64,32.37,1016.97,78,0.06,0.04
52,25.64,32.32,1017.01,77,0.06,0.04
54,25.62,32.53,1017.02,76,0.06,0.04
56,25.61,32.57,1016.98,77,0.06,0.04
58,25.60,32.57,1016.99,78,0.06,0.04
60,25.60,32.57,1016.99,74,0.06,0.04
62,25.59,32.57,1017.01,77,0.06,0.04
64,25.58,32.52,1017.00,79,0.06,0.04
66,25.55,32.42,1017.00,74,0.06,0.04
68,25.54,32.45,1017.03,77,0.06,0.04
70,25.52,32.37,1017.04,78,0.06,0.04
72,25.52,32.42,1017.03,79,0.06,0.04
74,25.52,32.50,1017.02,77,0.06,0.04
76,25.51,32.53,1017.01,75,0.06,0.04
78,25.49,32.57,1016.98,74,0.06,0.04
80,25.50,32.68,1016.99,70,0.06,0.04
82,25.48,32.79,1017.01,79,0.06,0.04
85,25.47,32.84,1017.03,78,0.06,0.04
87,25.46,32.86,1017.01,74,0.06,0.04
89,25.46,32.87,1016.99,78,0.06,0.04
91,25.46,32.91,1017.03,74,0.06,0.04
93,25.44,32.92,1017.00,74,0.06,0.04
95,25.45,33.29,1017.03,86,0.07,0.05
97,25.47,34.35,1017.02,81,0.07,0.04
99,25.47,33.91,1016.99,80,0.06,0.04
101,25.46,33.28,1017.02,80,0.06,0.04
103,25.44,32.89,1017.00,80,0.06,0.04
105,25.43,32.78,1017.02,69,0.06,0.03
107,25.41,32.55,1016.99,80,0.06,0.04
109,25.41,32.44,1017.01,79,0.06,0.04
111,25.40,32.39,1017.02,80,0.06,0.04
113,25.40,32.42,1016.99,80,0.06,0.04
115,25.39,32.59,1017.00,80,0.06,0.04
117,25.39,32.62,1017.01,79,0.06,0.04
119,25.39,32.69,1016.98,76,0.06,0.04
121,25.38,32.66,1016.96,76,0.06,0.04
123,25.36,32.56,1016.98,78,0.06,0.04
125,25.34,32.55,1016.95,74,0.06,0.04
127,25.33,32.51,1016.96,74,0.06,0.04
129,25.33,32.51,1017.02,79,0.06,0.04
131,25.30,32.47,1016.98,75,0.06,0.04
133,25.27,32.50,1016.97,76,0.06,0.04
135,25.27,32.59,1016.97,75,0.06,0.04
137,25.27,32.66,1016.99,75,0.06,0.04
139,25.27,32.66,1016.97,73,0.06,0.04
141,25.27,32.69,1017.01,66,0.05,0.03
143,25.28,32.75,1017.00,70,0.06,0.04
145,25.29,32.71,1016.98,73,0.06,0.04
147,25.29,32.78,1016.96,70,0.06,0.04
149,25.30,32.82,1017.01,73,0.06,0.04
151,25.30,32.85,1017.02,79,0.06,0.04
153,25.31,32.78,1017.07,83,0.07,0.04
155,25.30,32.75,1017.07,82,0.07,0.04
157,25.29,32.74,1017.09,73,0.06,0.04
159,25.29,32.71,1017.05,79,0.06,0.04
161,25.29,32.72,1017.02,77,0.06,0.04
163,25.27,32.57,1017.02,74,0.06,0.04
165,25.26,32.67,1017.03,73,0.06,0.04
167,25.27,32.72,1017.06,80,0.06,0.04
169,25.27,32.78,1017.02,79,0.06,0.04
171,25.27,32.65,1016.99,80,0.06,0.04
174,25.26,32.62,1017.02,79,0.06,0.04
176,25.25,32.63,1016.95,77,0.06,0.04
178,25.25,32.62,1016.99,77,0.06,0.04
180,25.26,32.69,1017.00,77,0.06,0.04
182,25.26,32.71,1016.98,75,0.06,0.04
184,25.27,32.67,1016.97,74,0.06,0.04
186,25.27,32.67,1016.96,76,0.06,0.04
188,25.28,33.82,1016.99,71,0.06,0.04
190,25.30,35.70,1017.01,75,0.06,0.04
192,25.30,35.04,1016.98,75,0.06,0.04
194,25.29,34.45,1016.95,73,0.06,0.04
196,25.30,34.18,1016.99,75,0.06,0.04
198,25.31,33.66,1016.99,76,0.06,0.04
200,25.32,33.48,1016.97,77,0.06,0.04
202,25.27,34.46,1017.02,77,0.06,0.04
204,25.26,34.29,1017.02,77,0.06,0.04
206,25.23,33.71,1017.00,77,0.06,0.04
208,25.21,33.33,1016.97,76,0.06,0.04
210,25.21,33.17,1016.99,75,0.06,0.04
212,25.20,33.22,1017.01,73,0.06,0.04
214,25.22,33.34,1017.02,71,0.06,0.04
216,25.20,33.19,1017.00,77,0.06,0.04
218,25.20,33.11,1017.01,76,0.06,0.04
220,25.19,32.99,1017.01,74,0.06,0.04
222,25.23,34.97,1017.02,75,0.06,0.04
224,25.28,36.92,1017.07,80,0.06,0.04
226,25.26,36.18,1017.10,86,0.07,0.05
228,25.25,36.03,1017.08,83,0.07,0.04
230,25.24,35.44,1017.12,117,0.09,0.07
232,25.21,33.19,1017.13,116,0.09,0.07
234,25.19,32.04,1017.14,116,0.09,0.07
236,25.16,31.44,1017.09,112,0.09,0.06
238,25.15,31.16,1017.12,112,0.09,0.06
240,25.11,31.47,1017.10,112,0.09,0.06
242,25.09,31.30,1017.07,112,0.09,0.06
244,25.10,31.01,1017.06,112,0.09,0.06
246,25.10,30.90,1017.07,117,0.09,0.07
248,25.09,30.91,1017.09,119,0.10,0.07
250,25.07,30.89,1017.10,131,0.11,0.08
252,25.21,49.63,1017.09,205,0.17,0.14
254,25.19,54.86,1017.09,198,0.16,0.14
256,25.60,65.92,1017.12,283,0.23,0.22
258,25.59,69.76,1017.11,304,0.24,0.24
261,25.68,72.75,1017.13,343,0.28,0.28
263,25.48,71.85,1017.16,294,0.24,0.23
265,25.32,62.32,1017.13,228,0.18,0.16
267,25.25,53.40,1017.14,208,0.17,0.14
269,25.20,46.58,1017.12,191,0.15,0.13
271,25.18,43.57,1017.13,179,0.14,0.12
273,25.14,39.71,1017.09,176,0.14,0.12
275,25.10,37.64,1017.11,166,0.13,0.11
277,25.13,37.76,1017.13,162,0.13,0.10
279,25.14,37.18,1017.09,155,0.12,0.10
281,25.15,36.44,1017.14,144,0.12,0.09
283,25.14,35.50,1017.10,141,0.11,0.09
285,25.13,34.31,1017.11,141,0.11,0.09
287,25.11,33.68,1017.09,133,0.11,0.08
289,25.11,33.34,1017.06,128,0.10,0.08
291,25.10,33.21,1017.06,121,0.10,0.07
293,25.10,32.88,1017.07,127,0.10,0.08
295,25.09,32.51,1017.06,128,0.10,0.08
297,25.09,32.31,1017.05,119,0.10,0.07
299,25.09,32.32,1017.03,121,0.10,0.07
301,25.08,32.17,1017.09,117,0.09,0.07
303,25.07,31.92,1017.05,115,0.09,0.07
305,25.04,31.75,1017.05,115,0.09,0.07
307,25.02,31.64,1017.05,129,0.10,0.08
309,25.02,31.64,1017.05,114,0.09,0.07
311,25.04,31.98,1017.05,112,0.09,0.06
313,25.01,31.64,1017.02,114,0.09,0.07
315,25.02,31.58,1017.04,112,0.09,0.06
317,25.02,31.63,1017.04,110,0.09,0.06
319,25.03,31.56,1017.06,112,0.09,0.06
321,25.02,31.51,1017.05,111,0.09,0.06
323,25.03,31.68,1017.04,111,0.09,0.06
325,25.03,31.78,1017.06,112,0.09,0.06
327,25.03,31.85,1017.03,112,0.09,0.06
329,25.03,31.86,1016.98,111,0.09,0.06
331,25.03,31.97,1017.02,110,0.09,0.06
333,25.02,31.88,1017.03,112,0.09,0.06
335,25.02,31.86,1017.03,112,0.09,0.06
337,24.93,33.24,1016.94,149,0.12,0.09
339,24.98,35.11,1016.98,102,0.08,0.06
341,24.99,35.36,1017.02,133,0.11,0.08
344,25.01,35.35,1016.98,124,0.10,0.07
346,25.02,34.41,1016.98,117,0.09,0.07
348,25.03,34.01,1016.99,124,0.10,0.07
350,25.04,33.84,1017.00,145,0.12,0.09
352,25.06,33.83,1017.01,3451,2.78,45.85
354,25.09,33.79,1017.02,4095,3.30,ovf
356,25.09,33.67,1017.03,4095,3.30,ovf
358,25.10,33.68,1017.00,1398,1.13,2.47
360,25.10,33.53,1017.04,1193,0.96,1.85
362,25.11,33.54,1017.02,960,0.77,1.28
364,25.13,33.63,1017.02,807,0.65,0.97
366,25.14,33.68,1017.03,693,0.56,0.77
368,25.15,33.67,1017.02,2915,2.35,17.42
370,25.15,33.77,1017.01,1826,1.47,4.29
372,25.16,33.88,1017.00,1405,1.13,2.50
374,25.19,34.73,1017.00,1013,0.82,1.40
376,25.22,35.66,1016.99,1008,0.81,1.39
378,25.23,35.62,1017.01,955,0.77,1.27
380,25.25,35.90,1017.00,737,0.59,0.84
382,25.26,35.10,1017.01,596,0.48,0.62
384,25.27,34.51,1017.00,507,0.41,0.49
386,25.26,33.95,1017.01,461,0.37,0.43
388,25.26,33.69,1017.01,429,0.35,0.38
390,25.26,33.86,1016.98,401,0.32,0.35
392,25.27,33.82,1017.02,397,0.32,0.35
394,25.27,33.99,1016.97,384,0.31,0.33
396,25.28,34.16,1017.01,379,0.31,0.32
398,25.29,34.24,1017.01,374,0.30,0.32
400,25.29,34.17,1016.98,371,0.30,0.31
402,25.30,34.07,1016.98,414,0.33,0.37
404,25.29,33.70,1016.97,441,0.36,0.40
406,25.27,33.51,1016.97,430,0.35,0.39
408,25.27,33.52,1016.98,400,0.32,0.35
410,25.27,33.51,1017.00,399,0.32,0.35
412,25.26,33.43,1016.98,407,0.33,0.36
414,25.26,33.32,1016.98,423,0.34,0.38
416,25.26,33.19,1016.98,406,0.33,0.36
418,25.24,33.13,1016.97,417,0.34,0.37
420,25.25,33.10,1017.00,438,0.35,0.40
422,25.24,33.06,1017.00,496,0.40,0.47
424,25.24,33.05,1017.02,528,0.43,0.52
426,25.24,33.04,1016.99,511,0.41,0.49
428,25.24,33.03,1016.99,483,0.39,0.45
431,25.23,33.18,1016.99,488,0.39,0.46
433,25.23,33.41,1016.99,480,0.39,0.45
435,25.23,33.37,1016.99,468,0.38,0.43
437,25.23,33.31,1016.96,450,0.36,0.41
439,25.23,33.28,1016.96,425,0.34,0.38
441,25.23,33.37,1016.97,401,0.32,0.35
443,25.23,33.42,1016.97,385,0.31,0.33
445,25.25,33.33,1016.97,365,0.29,0.31
447,25.25,33.29,1016.97,361,0.29,0.30
449,25.25,33.44,1016.95,351,0.28,0.29
451,25.25,33.26,1016.95,343,0.28,0.28
453,25.25,33.23,1016.97,337,0.27,0.28
455,25.27,33.24,1016.95,336,0.27,0.27
457,25.28,33.39,1016.94,330,0.27,0.27
459,25.28,33.42,1016.96,326,0.26,0.26
461,25.30,33.31,1016.90,333,0.27,0.27
463,25.30,33.34,1016.96,345,0.28,0.28
465,25.29,33.41,1016.93,347,0.28,0.29
467,25.29,33.47,1016.90,338,0.27,0.28
469,25.29,33.42,1016.93,333,0.27,0.27
471,25.29,33.42,1016.91,324,0.26,0.26
473,25.29,33.51,1016.92,322,0.26,0.26
475,25.30,33.57,1016.98,319,0.26,0.26
477,25.29,33.39,1016.94,311,0.25,0.25
479,25.28,33.42,1016.95,313,0.25,0.25
481,25.28,33.43,1016.91,315,0.25,0.25
483,25.28,33.45,1016.93,306,0.25,0.24
485,25.29,33.32,1016.91,309,0.25,0.25
487,25.31,33.27,1016.93,304,0.24,0.24
489,25.32,33.29,1016.94,303,0.24,0.24
491,25.32,33.31,1016.92,304,0.24,0.24
493,25.32,33.34,1016.93,304,0.24,0.24
495,25.31,33.35,1016.96,301,0.24,0.24
497,25.31,33.44,1016.95,300,0.24,0.24
499,25.31,33.46,1016.92,302,0.24,0.24
501,25.31,33.41,1016.94,300,0.24,0.24
503,25.30,33.39,1016.91,303,0.24,0.24
505,25.30,33.46,1016.90,299,0.24,0.23
507,25.30,33.49,1016.94,349,0.28,0.29
509,25.30,33.51,1016.95,377,0.30,0.32
511,25.31,33.43,1016.97,400,0.32,0.35
513,25.29,33.42,1016.95,400,0.32,0.35
515,25.30,33.52,1017.01,383,0.31,0.33
517,25.30,33.58,1017.01,369,0.30,0.31
520,25.30,33.64,1016.99,355,0.29,0.30
522,25.30,33.63,1016.99,345,0.28,0.28
524,25.32,33.59,1017.01,340,0.27,0.28
526,25.32,33.56,1017.00,335,0.27,0.27
528,25.31,33.48,1017.01,330,0.27,0.27
530,25.32,33.42,1017.02,326,0.26,0.26
532,25.32,33.38,1017.00,321,0.26,0.26
534,25.32,33.43,1016.96,320,0.26,0.26
536,25.33,33.40,1016.99,327,0.26,0.26
538,25.32,33.38,1016.95,332,0.27,0.27
540,25.33,33.35,1016.93,331,0.27,0.27
542,25.32,33.42,1016.95,323,0.26,0.26
544,25.33,33.58,1016.96,332,0.27,0.27
546,25.33,33.57,1016.95,331,0.27,0.27
548,25.33,33.51,1016.95,318,0.26,0.26
550,25.33,33.48,1016.97,317,0.26,0.25
552,25.33,33.40,1016.97,315,0.25,0.25
554,25.33,33.30,1016.97,310,0.25,0.25
556,25.32,33.28,1016.97,308,0.25,0.24
558,25.31,33.33,1016.98,308,0.25,0.24
560,25.31,33.36,1016.97,307,0.25,0.24
562,25.29,33.23,1016.97,304,0.24,0.24
564,25.29,33.39,1016.96,290,0.23,0.23
566,25.30,33.57,1016.98,301,0.24,0.24
568,25.31,33.83,1016.97,304,0.24,0.24
570,25.32,33.87,1016.95,303,0.24,0.24
572,25.32,33.79,1016.94,303,0.24,0.24
574,25.31,33.57,1016.93,302,0.24,0.24
576,25.31,33.51,1016.95,301,0.24,0.24
578,25.31,33.45,1016.97,300,0.24,0.24
580,25.31,33.44,1016.95,299,0.24,0.23
582,25.29,33.41,1016.93,296,0.24,0.23
584,25.30,33.35,1016.96,294,0.24,0.23
586,25.30,33.39,1016.94,284,0.23,0.22
588,25.30,33.45,1017.03,284,0.23,0.22
590,25.31,33.41,1017.08,282,0.23,0.22
592,25.32,33.44,1016.96,281,0.23,0.22
594,25.33,33.41,1016.95,283,0.23,0.22
596,25.33,33.41,1017.01,285,0.23,0.22
598,25.34,33.65,1016.98,289,0.23,0.22
600,25.34,33.63,1017.01,289,0.23,0.22
602,25.33,33.35,1017.05,290,0.23,0.23
605,25.31,33.21,1017.06,293,0.24,0.23
607,25.29,33.20,1017.03,286,0.23,0.22
609,25.28,33.46,1017.06,286,0.23,0.22
611,25.27,33.54,1017.03,290,0.23,0.23
613,25.25,33.53,1017.04,291,0.23,0.23
615,25.24,33.49,1017.02,292,0.24,0.23
617,25.24,33.46,1017.02,290,0.23,0.23
619,25.24,33.41,1017.05,285,0.23,0.22
621,25.23,33.27,1017.02,286,0.23,0.22
623,25.23,33.32,1017.04,282,0.23,0.22
625,25.23,33.34,1017.05,279,0.22,0.21
627,25.23,33.30,1017.06,278,0.22,0.21
629,25.24,33.31,1017.04,279,0.22,0.21
631,25.24,33.25,1017.04,277,0.22,0.21
633,25.25,33.22,1017.06,275,0.22,0.21
635,25.25,33.19,1017.02,274,0.22,0.21
637,25.25,33.12,1017.04,272,0.22,0.21
639,25.26,33.13,1017.03,272,0.22,0.21
641,25.26,33.11,1017.02,272,0.22,0.21
643,25.27,33.09,1017.01,272,0.22,0.21
645,25.28,33.13,1017.04,272,0.22,0.21
647,25.28,33.10,1017.10,263,0.21,0.20
649,25.28,33.06,1017.10,272,0.22,0.21
651,25.29,33.03,1017.06,272,0.22,0.21
653,25.29,33.01,1017.06,271,0.22,0.21
655,25.31,33.05,1017.08,270,0.22,0.20
657,25.32,32.94,1017.08,267,0.22,0.20
659,25.33,32.91,1017.06,267,0.22,0.20
661,25.35,32.89,1017.09,269,0.22,0.20
663,25.35,32.85,1017.06,267,0.22,0.20
665,25.36,32.88,1017.06,266,0.21,0.20
667,25.36,32.82,1017.05,265,0.21,0.20
669,25.37,32.79,1017.03,263,0.21,0.20
671,25.40,32.87,1017.05,263,0.21,0.20
673,25.42,33.32,1017.04,267,0.22,0.20
675,25.43,33.22,1017.04,267,0.22,0.20
677,25.45,33.23,1017.03,266,0.21,0.20
679,25.44,33.02,1017.01,265,0.21,0.20
681,25.45,33.02,1017.00,266,0.21,0.20
